Time,Time Code,Country Name,Country Code,Total final energy consumption (TFEC) ,Renewable energy consumption,Total Renewable Energy Percentage,Country
2015,YR2015,Afghanistan,AFG,136426.6353,25134.53,18%,afghanistan
2015,YR2015,Albania,ALB,81717.66932,31555.45,39%,albania
2015,YR2015,Algeria,DZA,1413989.835,833.6698,0%,algeria
2015,YR2015,American Samoa,ASM,561.06,4.968064,1%,american samoa
2015,YR2015,Andorra,AND,8317.479833,1642.52,20%,andorra
2015,YR2015,Angola,AGO,491789.1898,243771.1,50%,angola
2015,YR2015,Antigua and Barbuda,ATG,4701.1,0,0%,antigua and barbuda
2015,YR2015,Argentina,ARG,2385146.9,239470.6,10%,argentina
2015,YR2015,Armenia,ARM,85141.75997,13445.59,16%,armenia
2015,YR2015,Aruba,ABW,6507.92966,437.772,7%,aruba
2015,YR2015,Australia,AUS,3233353.35,296838.1,9%,australia
2015,YR2015,Austria,AUT,1053513.263,362355.8,34%,austria
2015,YR2015,Azerbaijan,AZE,332414.0842,7681.284,2%,azerbaijan
2015,YR2015,"Bahamas, The",BHS,25636.48881,310.333,1%,"bahamas, the"
2015,YR2015,Bahrain,BHR,191733.4593,0,0%,bahrain
2015,YR2015,Bangladesh,BGD,1111053.712,386058.6,35%,bangladesh
2015,YR2015,Barbados,BRB,11307.92873,315.0794,3%,barbados
2015,YR2015,Belarus,BLR,657957.2947,44549.43,7%,belarus
2015,YR2015,Belgium,BEL,1394807.802,128345.2,9%,belgium
2015,YR2015,Belize,BLZ,12219.94993,4279.87,35%,belize
2015,YR2015,Benin,BEN,150352.426,76473.18,51%,benin
2015,YR2015,Bermuda,BMU,5228.374598,123.3681,2%,bermuda
2015,YR2015,Bhutan,BTN,62845.24925,54615.38,87%,bhutan
2015,YR2015,Bolivia,BOL,278473.279,48839.15,18%,bolivia
2015,YR2015,Bosnia and Herzegovina,BIH,180007.4885,73353.16,41%,bosnia and herzegovina
2015,YR2015,Botswana,BWA,80179.77395,23155.78,29%,botswana
2015,YR2015,Brazil,BRA,8876778.835,3887176,44%,brazil
2015,YR2015,Brunei Darussalam,BRN,38929.99684,5.814209,0%,brunei darussalam
2015,YR2015,Bulgaria,BGR,391131.1909,69034.96,18%,bulgaria
2015,YR2015,Burkina Faso,BFA,146862.6533,108923.9,74%,burkina faso
2015,YR2015,Burundi,BDI,51690.01469,49456.45,96%,burundi
2015,YR2015,Cambodia,KHM,246145.5726,159807,65%,cambodia
2015,YR2015,Cameroon,CMR,284268.9406,217574.9,77%,cameroon
2015,YR2015,Canada,CAN,7205757.622,1587094,22%,canada
2015,YR2015,Cayman Islands,CYM,4692.328375,0,0%,cayman islands
2015,YR2015,Central African Republic,CAF,17654.481,13517.51,77%,central african republic
2015,YR2015,Chad,TCD,66381.56766,59316.84,89%,chad
2015,YR2015,Chile,CHL,1043328.579,259606.8,25%,chile
2015,YR2015,China,CHN,73183146.53,9084482,12%,china
2015,YR2015,Colombia,COL,1068688.697,251833.9,24%,colombia
2015,YR2015,Comoros,COM,3546.64845,1607.804,45%,comoros
2015,YR2015,"Congo, Dem. Rep.",COD,900161.2464,862513.8,96%,"congo, dem. rep."
2015,YR2015,"Congo, Rep.",COG,85165.45726,53145.05,62%,"congo, rep."
2015,YR2015,Costa Rica,CRI,151721.8446,58767.05,39%,costa rica
2015,YR2015,Cote d'Ivoire,CIV,282467.6536,182270.8,65%,cote d'ivoire
2015,YR2015,Croatia,HRV,270439.6053,89589.79,33%,croatia
2015,YR2015,Cuba,CUB,299420.258,57732.18,19%,cuba
2015,YR2015,Curacao,CUW,24714.21985,85.94772,0%,curacao
2015,YR2015,Cyprus,CYP,58918.65926,5857.732,10%,cyprus
2015,YR2015,Denmark,DNK,546907.7001,181410.8,33%,denmark
2015,YR2015,Djibouti,DJI,4947.13949,760.8995,15%,djibouti
2015,YR2015,Dominica,DMA,1495.08353,117.062,8%,dominica
2015,YR2015,Dominican Republic,DOM,226654.9301,37352.98,16%,dominican republic
2015,YR2015,Ecuador,ECU,494684.1108,68348.95,14%,ecuador
2015,YR2015,"Egypt, Arab Rep.",EGY,2086104.92,119103.6,6%,"egypt, arab rep."
2015,YR2015,El Salvador,SLV,103161.6216,25172.23,24%,el salvador
2015,YR2015,Equatorial Guinea,GNQ,67460.502,5277.3,8%,equatorial guinea
2015,YR2015,Estonia,EST,114898.9386,31570.59,27%,estonia
2015,YR2015,Ethiopia,ETH,1708132.464,1574274,92%,ethiopia
2015,YR2015,Fiji,FJI,23961.88165,7491.43,31%,fiji
2015,YR2015,Finland,FIN,967638.8553,418361.2,43%,finland
2015,YR2015,France,FRA,5632162.574,760300.4,13%,france
2015,YR2015,French Polynesia,PYF,7795.24708,766.2069,10%,french polynesia
2015,YR2015,Gabon,GAB,197755.9618,162175.4,82%,gabon
2015,YR2015,"Gambia, The",GMB,10206.03008,5257.01,52%,"gambia, the"
2015,YR2015,Georgia,GEO,157678.7399,45194.73,29%,georgia
2015,YR2015,Germany,DEU,8327614.785,1183042,14%,germany
2015,YR2015,Ghana,GHA,283139.5513,117256,41%,ghana
2015,YR2015,Greece,GRC,656633.0099,112744.2,17%,greece
2015,YR2015,Greenland,GRL,7981.35474,1239.809,16%,greenland
2015,YR2015,Grenada,GRD,2876.050414,314.0524,11%,grenada
2015,YR2015,Guam,GUM,5619.6,0,0%,guam
2015,YR2015,Guatemala,GTM,429959.3648,273673.4,64%,guatemala
2015,YR2015,Guinea,GIN,137987.0457,105240.5,76%,guinea
2015,YR2015,Guinea-Bissau,GNB,27257.4105,23673.55,87%,guinea-bissau
2015,YR2015,Guyana,GUY,26619.104,6723.647,25%,guyana
2015,YR2015,Haiti,HTI,136690.6464,103983.6,76%,haiti
2015,YR2015,Honduras,HND,198453.692,102277.9,52%,honduras
2015,YR2015,"Hong Kong SAR, China",HKG,372163.061,3173.745,1%,"hong kong sar, china"
2015,YR2015,Hungary,HUN,707440.9583,110073.3,16%,hungary
2015,YR2015,Iceland,ISL,118646.292,91392.87,77%,iceland
2015,YR2015,India,IND,22241457.76,8011645,36%,india
2015,YR2015,Indonesia,IDN,6513819.044,2402254,37%,indonesia
2015,YR2015,"Iran, Islamic Rep.",IRN,6565402.848,59942.46,1%,"iran, islamic rep."
2015,YR2015,Iraq,IRQ,734476.5913,5867.225,1%,iraq
2015,YR2015,Ireland,IRL,430018.1056,39051.66,9%,ireland
2015,YR2015,Isle of Man,IMN,2270.7,95.54174,4%,isle of man
2015,YR2015,Israel,ISR,512100.1521,18987.48,4%,israel
2015,YR2015,Italy,ITA,4714561.631,778697.1,17%,italy
2015,YR2015,Jamaica,JAM,82139.19635,13776.31,17%,jamaica
2015,YR2015,Japan,JPN,10559777.56,664986.9,6%,japan
2015,YR2015,Jordan,JOR,229180.994,7400.644,3%,jordan
2015,YR2015,Kazakhstan,KAZ,1586534.855,24725.24,2%,kazakhstan
2015,YR2015,Kenya,KEN,655000.7859,475941.6,73%,kenya
2015,YR2015,Kiribati,KIR,605.3605527,25.75203,4%,kiribati
2015,YR2015,"Korea, Rep.",KOR,5312174.577,143837.9,3%,"korea, rep."
2015,YR2015,Kosovo,XKX,55849.10684,11421.65,20%,kosovo
2015,YR2015,Kuwait,KWT,616547.205,0,0%,kuwait
2015,YR2015,Kyrgyz Republic,KGZ,139850.3825,32594.68,23%,kyrgyz republic
2015,YR2015,Lao PDR,LAO,122192.697,72479.65,59%,lao pdr
2015,YR2015,Latvia,LVA,154231.4125,58759.11,38%,latvia
2015,YR2015,Lebanon,LBN,202341.1358,7378.814,4%,lebanon
2015,YR2015,Lesotho,LSO,55693.27226,29038.03,52%,lesotho
2015,YR2015,Liberia,LBR,82192.82071,68916.25,84%,liberia
2015,YR2015,Libya,LBY,322939.9001,6350.789,2%,libya
2015,YR2015,Liechtenstein,LIE,2873.642276,1814.258,63%,liechtenstein
2015,YR2015,Lithuania,LTU,199779.9865,57858.64,29%,lithuania
2015,YR2015,Luxembourg,LUX,148287.2869,13392.29,9%,luxembourg
2015,YR2015,"Macao SAR, China",MAC,34125.7,2406.327,7%,"macao sar, china"
2015,YR2015,Madagascar,MDG,131031.3151,91950.46,70%,madagascar
2015,YR2015,Malawi,MWI,60637.54141,50722.96,84%,malawi
2015,YR2015,Malaysia,MYS,1911611.656,99297.57,5%,malaysia
2015,YR2015,Maldives,MDV,15870.54697,160.2282,1%,maldives
2015,YR2015,Mali,MLI,77716.7778,47816.79,62%,mali
2015,YR2015,Malta,MLT,19161.30888,1026.089,5%,malta
2015,YR2015,Marshall Islands,MHL,1662.684,185.6301,11%,marshall islands
2015,YR2015,Mauritania,MRT,41714.4538,13415.19,32%,mauritania
2015,YR2015,Mauritius,MUS,33474.93138,3862.124,12%,mauritius
2015,YR2015,Mexico,MEX,4793389.78,441721.1,9%,mexico
2015,YR2015,"Micronesia, Fed. Sts.",FSM,1651.817805,19.75967,1%,"micronesia, fed. sts."
2015,YR2015,Moldova,MDA,96135.83622,13722.13,14%,moldova
2015,YR2015,Monaco,MCO,0,0,#DIV/0!,monaco
2015,YR2015,Mongolia,MNG,130283.4189,4468.379,3%,mongolia
2015,YR2015,Montenegro,MNE,27696.89617,11910.79,43%,montenegro
2015,YR2015,Morocco,MAR,604023.2721,68360.09,11%,morocco
2015,YR2015,Mozambique,MOZ,435993.381,376700.5,86%,mozambique
2015,YR2015,Myanmar,MMR,731366.0082,449993.5,62%,myanmar
2015,YR2015,Namibia,NAM,71287.30382,18868.63,26%,namibia
2015,YR2015,Nepal,NPL,483589.677,412327.7,85%,nepal
2015,YR2015,Netherlands,NLD,1823259.583,107380.2,6%,netherlands
2015,YR2015,New Caledonia,NCL,33328.6252,1586.183,5%,new caledonia
2015,YR2015,New Zealand,NZL,530286.6902,163270.9,31%,new zealand
2015,YR2015,Nicaragua,NIC,103807.4355,50040.28,48%,nicaragua
2015,YR2015,Niger,NER,113793.6234,89828.49,79%,niger
2015,YR2015,Nigeria,NGA,4987286.894,4320767,87%,nigeria
2015,YR2015,Northern Mariana Islands,MNP,1203.12,0,0%,northern mariana islands
2015,YR2015,Norway,NOR,756219.7741,436883.3,58%,norway
2015,YR2015,Oman,OMN,753718.831,0,0%,oman
2015,YR2015,Pakistan,PAK,3111795.097,1446248,46%,pakistan
2015,YR2015,Palau,PLW,2291.5,0,0%,palau
2015,YR2015,Panama,PAN,144680.275,30721.63,21%,panama
2015,YR2015,Papua New Guinea,PNG,115716.2284,60749.46,52%,papua new guinea
2015,YR2015,Paraguay,PRY,204860.5008,126351.8,62%,paraguay
2015,YR2015,Peru,PER,738633.5394,188380.4,26%,peru
2015,YR2015,Philippines,PHL,1195481.371,328178.1,27%,philippines
2015,YR2015,Poland,POL,2537766.018,302285.7,12%,poland
2015,YR2015,Portugal,PRT,625305.572,169816.1,27%,portugal
2015,YR2015,Puerto Rico,PRI,62946,1156.599,2%,puerto rico
2015,YR2015,Qatar,QAT,578356.1365,0,0%,qatar
2015,YR2015,Romania,ROU,893623.6838,211769.1,24%,romania
2015,YR2015,Russian Federation,RUS,15809140.43,522370.1,3%,russian federation
2015,YR2015,Rwanda,RWA,79544.51823,68929.6,87%,rwanda
2015,YR2015,Samoa,WSM,4146.637665,1423.329,34%,samoa
2015,YR2015,San Marino,SMR,0,0,#DIV/0!,san marino
2015,YR2015,Sao Tome and Principe,STP,1955.125,802.6961,41%,sao tome and principe
2015,YR2015,Saudi Arabia,SAU,4773763.695,285.306,0%,saudi arabia
2015,YR2015,Senegal,SEN,114203.5111,48778.32,43%,senegal
2015,YR2015,Serbia,SRB,330294.2237,69936.12,21%,serbia
2015,YR2015,Seychelles,SYC,4277.6051,57.87324,1%,seychelles
2015,YR2015,Sierra Leone,SLE,54796.5927,42555.34,78%,sierra leone
2015,YR2015,Singapore,SGP,439604.8309,3115.195,1%,singapore
2015,YR2015,Sint Maarten (Dutch part),SXM,8338.3635,3.8635,0%,sint maarten (dutch part)
2015,YR2015,Slovak Republic,SVK,376732.2415,50516.66,13%,slovak republic
2015,YR2015,Slovenia,SVN,195249.1571,40762.94,21%,slovenia
2015,YR2015,Solomon Islands,SLB,5078.3015,3214.943,63%,solomon islands
2015,YR2015,Somalia,SOM,104906.4283,98912.04,94%,somalia
2015,YR2015,South Africa,ZAF,2942891.797,504710.1,17%,south africa
2015,YR2015,South Sudan,SSD,17653.6422,6898.052,39%,south sudan
2015,YR2015,Spain,ESP,3159454.362,513540.8,16%,spain
2015,YR2015,Sri Lanka,LKA,414835.5546,219348,53%,sri lanka
2015,YR2015,St. Kitts and Nevis,KNA,1855.6128,30.47271,2%,st. kitts and nevis
2015,YR2015,St. Lucia,LCA,3812.98052,81.31652,2%,st. lucia
2015,YR2015,St. Vincent and the Grenadines,VCT,2427.773,140.9913,6%,st. vincent and the grenadines
2015,YR2015,Sudan,SDN,436080.0059,268611.1,62%,sudan
2015,YR2015,Suriname,SUR,25154.67121,6266.811,25%,suriname
2015,YR2015,Sweden,SWE,1276695.536,679811.9,53%,sweden
2015,YR2015,Switzerland,CHE,772440.4003,195365.5,25%,switzerland
2015,YR2015,Syrian Arab Republic,SYR,249253.9786,1299,1%,syrian arab republic
2015,YR2015,Tajikistan,TJK,98813.96471,44129.53,45%,tajikistan
2015,YR2015,Tanzania,TZA,938634.1703,804531.9,86%,tanzania
2015,YR2015,Thailand,THA,3157978.766,722010.9,23%,thailand
2015,YR2015,Timor-Leste,TLS,4862.325,886.095,18%,timor-leste
2015,YR2015,Togo,TGO,92564.45395,65965.75,71%,togo
2015,YR2015,Tonga,TON,1264.108525,23.7621,2%,tonga
2015,YR2015,Trinidad and Tobago,TTO,171888.0692,488.5158,0%,trinidad and tobago
2015,YR2015,Tunisia,TUN,318320.6874,39988.56,13%,tunisia
2015,YR2015,Turkmenistan,TKM,753232.8691,307.981,0%,turkmenistan
2015,YR2015,Turks and Caicos Islands,TCA,1185.422585,6.782585,1%,turks and caicos islands
2015,YR2015,Tuvalu,TUV,88.266,0,0%,tuvalu
2015,YR2015,Uganda,UGA,528879.2358,471009,89%,uganda
2015,YR2015,Ukraine,UKR,1989251.047,82440.89,4%,ukraine
2015,YR2015,United Arab Emirates,ARE,2093160.892,2869.892,0%,united arab emirates
2015,YR2015,United Kingdom,GBR,4926228.068,429157.5,9%,united kingdom
2015,YR2015,United States,USA,58483061.91,5097931,9%,united states
2015,YR2015,Uruguay,URY,184450.9394,107022.2,58%,uruguay
2015,YR2015,Uzbekistan,UZB,1169202.042,34727.39,3%,uzbekistan
2015,YR2015,Vanuatu,VUT,2418.6033,873.3834,36%,vanuatu
2015,YR2015,Virgin Islands (U.S.),VIR,2359.8,91.50184,4%,virgin islands (u.s.)
2015,YR2015,West Bank and Gaza,PSE,63990.57,6701.55,10%,west bank and gaza
2015,YR2015,"Yemen, Rep.",YEM,106887.3293,2433.201,2%,"yemen, rep."
2015,YR2015,Zambia,ZMB,342874.6366,301679.8,88%,zambia
2015,YR2015,Zimbabwe,ZWE,396615.2709,324422.6,82%,zimbabwe
